2459445.38616,-19.8470,0.0023,-21.0516,725,57,7.521,0.023,-0.026,0.005,0.230,0.044,0.2443,0.0014
2459454.38684,-19.8721,0.0025,-22.0027,1641,57,7.506,0.024,-0.021,0.008,0.195,0.044,0.2420,0.0017
2459456.33576,-19.8674,0.0024,-22.0624,808,56,7.513,0.023,-0.023,0.004,0.211,0.043,0.2492,0.0022
2459469.30862,-19.8606,0.0024,-22.3470,616,57,7.511,0.024,-0.036,0.007,0.161,0.039,0.2425,0.0012
2459470.30193,-19.8572,0.0024,-22.3135,893,57,7.523,0.024,-0.021,0.006,0.106,0.036,0.2424,0.0021
2459475.29197,-19.8675,0.0024,-22.0924,611,57,7.531,0.023,-0.025,0.012,0.173,0.044,0.2533,0.0026
2459477.30701,-19.8509,0.0024,-21.9923,1244,56,7.526,0.024,-0.025,0.006,0.190,0.040,0.2454,0.0020
2459482.27556,-19.8580,0.0024,-21.5264,623,56,7.524,0.023,-0.025,0.008,0.191,0.042,0.2522,0.0027
2459484.30844,-19.8627,0.0033,-21.3654,1800,44,7.522,0.024,-0.046,0.010,0.147,0.042,0.2543,0.0031
2459486.28811,-19.8592,0.0028,-21.1018,1800,50,7.499,0.024,-0.029,0.007,0.168,0.043,0.2502,0.0034
2459501.25879,-19.8522,0.0023,-18.4803,1013,57,7.533,0.023,-0.019,0.004,0.173,0.042,0.2553,0.0023
2459502.26110,-19.8613,0.0023,-18.2632,833,59,7.524,0.023,-0.022,0.011,0.128,0.039,0.2521,0.0020
2459504.25263,-19.8529,0.0024,-17.7981,608,59,7.508,0.023,-0.004,0.007,0.146,0.042,0.2521,0.0022
2459505.25776,-19.8644,0.0024,-17.5690,728,59,7.518,0.022,-0.008,0.004,0.181,0.042,0.2460,0.0020
2459509.23883,-19.8622,0.0024,-16.5576,996,57,7.545,0.023,-0.019,0.011,0.223,0.044,0.2582,0.0016
2459603.70734,-19.8669,0.0018,17.1155,1800,82,7.520,0.024,-0.021,0.013,0.102,0.039,0.2478,0.0012
