,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname
112,TYC 1422-614-1 c,TYC 1422-614-1,CJ,1,2,559.3,1.37,,,3178.0,10.0,0.048,0.02,-0.014,,4806.0,6.85,1.15,-0.2,11.0,0.0,Radial Velocity,<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...573A..36N/abstract target=ref>Niedzielski et al. 2015</a>
113,HAT-P-11 b,HAT-P-11,HS,1,2,4.888,0.05258,,,23.51930212,0.074,0.251,0.045,-0.047,,,,0.811,,1.0,0.0,Transit,<a refstr=AN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...22A/abstract target=ref>An et al. 2025</a>
114,HAT-P-11 c,HAT-P-11,CJ,1,2,3361.0,4.1,,,851.78013076,2.68,0.652,0.017,-0.017,,,,0.811,,3.0,0.0,Radial Velocity,<a refstr=AN_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....169...22A/abstract target=ref>An et al. 2025</a>
115,K2-131 b,K2-131,SE,1,1,0.3693038,0.00936,1.69,0.15077196,7.9,0.02485618,0.0,0.1,-0.1,,5120.0,0.7595,0.803,-0.04,1.0,1.0,Transit,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>
116,K2-136 b,K2-136,SE,2,3,7.9752,0.0707,1.014,0.09046318,4.3,0.01352931,0.14,0.12,-0.11,,4500.0,0.677,0.742,-0.02,1.0,1.0,Transit,<a refstr=MAYO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230402779M/abstract target=ref>Mayo et al. 2023</a>
117,K2-136 c,K2-136,SE,2,3,17.30713,0.1185,3.0,0.26764253,18.1,0.05694897,0.047,0.062,-0.034,,4500.0,0.677,0.742,-0.02,1.0,0.0,Transit,<a refstr=MAYO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230402779M/abstract target=ref>Mayo et al. 2023</a>
118,K2-136 d,K2-136,SE,2,3,25.575,0.1538,1.565,0.13962019,3.0,0.00943906,0.071,0.063,-0.049,,4500.0,0.677,0.742,-0.02,1.0,1.0,Transit,<a refstr=MAYO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230402779M/abstract target=ref>Mayo et al. 2023</a>
119,TOI-1268 b,TOI-1268,HS,1,1,8.1577094,0.0711,9.1,0.81184902,96.4,0.30330832,0.105,0.04,-0.039,K1-K2,5300.0,0.92,0.96,0.36,1.0,0.0,Transit,<a refstr=_SCARON_UBJAK_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220113341S/abstract target=ref>&Scaron;ubjak et al. 2022</a>
120,alf Tau b,alf Tau,CJ,2,1,628.96,1.46,,,2056.3601,6.47,0.1,0.05,-0.05,K5 III,4055.0,45.1,1.13,-0.27,1.0,0.0,Radial Velocity,<a refstr=HATZES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...580A..31H/abstract target=ref>Hatzes et al. 2015</a>
121,TYC 0434-04538-1 b,TYC 0434-04538-1,WJ,1,1,193.2,0.66,,,1938.763,6.1,0.08,0.05,-0.03,,4679.0,9.99,1.04,-0.38,1.0,0.0,Radial Velocity,<a refstr=NIEDZIELSKI_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...648A..58N/abstract target=ref>Niedzielski et al. 2021</a>
122,K2-27 b,K2-27,HS,3,1,6.771315,0.06702,4.48,0.39967883,30.9,0.09722179,0.251,0.088,-0.088,,5248.0,0.885,0.866,0.13,1.0,0.0,Transit,<a refstr=PETIGURA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..142P/abstract target=ref>Petigura et al. 2017</a>
123,HAT-P-14 b,HAT-P-14,HJ,2,1,4.627682,0.06062,12.89035,1.15,731.96249,2.303,0.1074,0.0076,-0.0079,,6600.0,1.468,1.386,0.11,1.0,0.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>
