,Unnamed: 0,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname,baseline,num_obs
10,10,WASP-47 e,WASP-47,SE,1,4,0.78961,0.0170441392142508,1.83,0.16326195,9.0,0.02831717,0.0,0.1,-0.1,,,1.156,1.058,,1.0,1.0,Transit,<a refstr=NASCIMBENI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...673A..42N/abstract target=ref>Nascimbeni et al. 2023</a>,2392.45327299973,195.0
11,11,TOI-969 b,TOI-969,SE,1,2,1.8237305,0.02636,2.765,0.2466772,9.1,0.0286318,,0.1,-0.1,K V,4435.0,0.671,0.734,0.175,1.0,0.0,Transit,<a refstr=LILLO_BOX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221008996L/abstract target=ref>Lillo-Box et al. 2022</a>,474.75098200002685,94.0
12,12,TOI-969 c,TOI-969,CJ,1,2,1700.0,2.52,,,3591.4609991,11.3,0.628,0.043,-0.036,K V,4435.0,0.671,0.734,0.175,2.0,0.0,Radial Velocity,<a refstr=LILLO_BOX_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221008996L/abstract target=ref>Lillo-Box et al. 2022</a>,474.75098200002685,94.0
13,13,Pr0211 b,Pr0211,HJ,2,2,2.1461,0.03176,,,597.5204,1.88,0.011,0.012,-0.008,,5300.0,0.827,0.935,0.18,1.0,0.0,Radial Velocity,<a refstr=MALAVOLTA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.118M/abstract target=ref>Malavolta et al. 2016</a>,1166.8963609999046,124.0
14,14,Pr0211 c,Pr0211,CJ,2,2,4850.0,5.5,,,2475.8957,7.79,0.71,0.11,-0.11,,5300.0,0.827,0.935,0.18,7.0,0.0,Radial Velocity,<a refstr=MALAVOLTA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A.118M/abstract target=ref>Malavolta et al. 2016</a>,1166.8963609999046,124.0
15,15,TOI-2202 b,TOI-2202,HJ,1,2,11.9126075,0.0963994695466604,10.95117414,0.977,287.31687993,0.904,0.022,0.022,-0.015,,5169.0,0.808,0.841,0.059,1.0,0.0,Transit,<a refstr=RICE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166..266R/abstract target=ref>Rice et al. 2023</a>,357.95120000001043,49.0
16,16,TOI-2202 c,TOI-2202,CS,1,2,24.6744,0.15544,,,117.27868218,0.369,0.0622,0.0452,-0.0211,K8 V,5144.0,0.794,0.823,0.04,1.0,0.0,Transit Timing Variations,<a refstr=TRIFONOV_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..283T/abstract target=ref>Trifonov et al. 2021</a>,357.95120000001043,49.0
17,17,TOI-1130 b,TOI-1130,SE,1,2,4.074554,0.0453,3.66,0.32652389,19.8,0.06229777,0.052162,0.000956,-2e-06,,4360.0,0.697,0.745,0.11,1.0,0.0,Transit,<a refstr=BORSATO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240706097B/abstract target=ref>Borsato et al. 2024</a>,67.9846749999997,69.0
18,18,TOI-1130 c,TOI-1130,HJ,1,2,8.3501898,0.0731,13.0,1.15978431,336.0,1.05717423,0.0398,0.0009,-0.0002,,4360.0,0.697,0.745,0.11,2.0,0.0,Transit,<a refstr=BORSATO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240706097B/abstract target=ref>Borsato et al. 2024</a>,67.9846749999997,69.0
19,19,TIC 279401253 b,TIC 279401253,WJ,1,2,76.8,0.369,11.2089807,1.0,1951.46641898,6.14,0.448,0.029,-0.028,,5951.0,1.06,1.13,0.2,1.0,0.0,Transit,<a refstr=BOZHILOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230210838B/abstract target=ref>Bozhilov et al. 2023</a>,0.0,33.0
20,20,TIC 279401253 c,TIC 279401253,WJ,1,2,155.3,0.591,,,2548.98382414,8.02,0.254,0.042,-0.036,,5951.0,1.06,1.13,0.2,11.0,0.0,Transit,<a refstr=BOZHILOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230210838B/abstract target=ref>Bozhilov et al. 2023</a>,0.0,33.0
21,21,TIC 139270665 b,TIC 139270665,CS,1,2,23.624,0.163,7.22979255,0.645,147.15455244,0.463,0.105,0.053,-0.05,G2,5844.0,1.016,1.035,0.156,1.0,0.0,Transit,<a refstr=PELUSO_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024AJ....167..170P/abstract target=ref>Peluso et al. 2024</a>,457.9039599997923,59.0
