,pl_name,hostname,pl_type,sy_snum,sy_pnum,companion_type,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_mass,st_met,discoverymethod
173,BD-11 4672 b,BD114672,CJ,1,2,2.0,1634.0,2.36,,,206.5895,0.65,0.05,0.05,-0.03,0.651,-0.35,Radial Velocity
174,BD-11 4672 c,BD114672,SE,1,2,1.0,74.2,0.3,,,15.37,0.04835919,0.4,0.13,-0.15,0.651,-0.35,Radial Velocity
175,BD+20 2457 b,BD202457,BD,1,2,1.0,379.63,1.45,,,6807.63,21.42,0.15,0.03,-0.03,2.8,-1.0,Radial Velocity
176,BD+20 2457 c,BD202457,CJ,1,2,1.0,621.99,2.01,,,3963.17,12.47,0.18,0.06,-0.06,2.8,-1.0,Radial Velocity
177,75 Cet b,75Cet,CJ,2,2,1.0,696.62,1.912,,,787.89662095,2.479,0.093,0.026,-0.042,1.92,0.1,Radial Velocity
178,75 Cet c,75Cet,CJ,2,2,13.0,2051.62,3.929,,,289.85950718,0.912,0.023,0.191,-0.003,1.92,0.1,Radial Velocity
179,7 CMa b,7CMa,CJ,1,2,1.0,735.1,1.758,,,587.9855,1.85,0.06,0.03,-0.03,1.34,0.21,Radial Velocity
180,7 CMa c,7CMa,CJ,1,2,13.0,996.0,2.153,,,276.5121,0.87,0.08,0.05,-0.04,1.34,0.21,Radial Velocity
181,47 UMa b,47UMa,CJ,1,3,1.0,1078.0,2.1,,,804.08,2.53,0.032,0.014,-0.014,1.06,0.04,Radial Velocity
182,47 UMa c,47UMa,CJ,1,3,13.0,2391.0,3.6,,,171.621,0.54,0.098,0.047,-0.096,1.06,0.04,Radial Velocity
183,47 UMa d,47UMa,DG,1,3,169.0,14002.0,11.6,,,521.22,1.64,0.16,0.09,-0.16,1.06,0.04,Radial Velocity
184,24 Sex b,24Sex,CJ,1,2,1.0,452.8,1.333,,,632.46,1.99,0.09,0.14,-0.06,1.54,-0.03,Radial Velocity
185,24 Sex c,24Sex,CJ,1,2,13.0,883.0,2.08,,,273.32,0.86,0.29,0.16,-0.09,1.54,-0.03,Radial Velocity
186,xi Aql b,xiAql,WJ,1,1,1.0,136.97,0.625,,,616.90493799,1.941,0.059,0.087,-0.037,1.74,-0.11,Radial Velocity
187,ups Leo b,upsLeo,CJ,1,1,1.0,385.2,1.18,,,162.09248757,0.51,0.32,0.134,-0.218,1.48,-0.2,Radial Velocity
188,tau Boo b,tauBoo,HJ,2,1,1.0,3.3124568,0.049,,,1373.0256,4.32,0.011,0.006,-0.006,1.32,0.2642,Radial Velocity
189,ome Ser b,omeSer,WJ,2,1,1.0,278.59,0.838,,,233.92170755,0.736,0.18,0.066,-0.127,1.01,-0.12,Radial Velocity
190,mu Leo b,muLeo,CJ,1,1,1.0,357.8,1.1,,,762.8,2.4,0.09,0.06,-0.06,1.5,0.36,Radial Velocity
191,gam1 Leo b,gam1Leo,CJ,2,1,1.0,428.5,1.19,,,2790.43,8.78,0.144,0.046,-0.046,1.23,-0.51,Radial Velocity
192,gam Psc b,gamPsc,CJ,1,1,1.0,555.1,1.32,,,425.89006538,1.34,0.204,0.114,-0.141,0.99,-0.62,Radial Velocity
193,gam Cep b,gamCep,CJ,2,1,1.0,913.0,1.9955066636344956,,,2097.6674862,6.6,0.15,0.07,-0.05,1.27,0.18,Radial Velocity
194,eps Eri b,epsEri,CJ,1,1,1.0,2671.0,3.53,,,209.76674862,0.66,0.07,0.07,-0.05,0.82,-0.04388701594695,Radial Velocity
195,eps CrB b,epsCrB,CJ,1,1,1.0,417.9,1.3,,,2129.461,6.7,0.11,0.03,-0.03,1.7,-0.094,Radial Velocity
196,bet UMi b,betUMi,CJ,1,1,1.0,522.3,1.4,,,1938.7,6.1,0.19,0.02,-0.02,1.4,-0.27,Radial Velocity
197,bet Cnc b,betCnc,CJ,2,1,1.0,605.2,1.7,,,2479.0,7.8,0.08,0.02,-0.02,1.7,-0.29,Radial Velocity
198,alf Tau b,alfTau,CJ,2,1,1.0,628.96,1.46,,,2056.3601,6.47,0.1,0.05,-0.05,1.13,-0.27,Radial Velocity
199,alf Ari b,alfAri,CJ,1,1,1.0,380.8,1.2,,,572.07,1.8,0.25,0.03,-0.03,1.5,-0.09,Radial Velocity
200,XO-7 b,XO7,HJ,1,1,1.0,2.8641424,0.04421,15.389957,1.373,225.34147,0.709,0.038,0.033,-0.033,1.405,0.432,Transit
201,WASP-89 b,WASP89,HJ,1,1,1.0,3.3564227,0.0427,11.65736,1.04,1875.197,5.9,0.193,0.009,-0.009,0.92,0.15,Transit
202,WASP-81 b,WASP81,HJ,1,1,1.0,2.7164762,0.03908,16.017661,1.429,231.69807,0.729,0.066,0.1,-0.1,1.08,-0.36,Transit
203,WASP-80 b,WASP80,HJ,1,1,1.0,3.06785234,0.0344,11.197791,0.999,170.99254,0.538,0.002,0.01,-0.002,0.577,-0.13,Transit
204,WASP-76 b,WASP76,HJ,2,1,1.0,1.80988198,0.033,20.78145022,1.854,284.13859586,0.894,0.0,0.1,-0.1,1.458,0.366,Transit
205,TYC 4282-00605-1 b,TYC4282006051,WJ,1,1,1.0,101.54,0.422,,,3426.2074,10.78,0.28,0.01,-0.01,0.97,-0.07,Radial Velocity
206,TYC 3667-1280-1 b,TYC366712801,WJ,1,1,1.0,26.468,0.21,,,1716.282,5.4,0.036,0.043,-0.014,1.87,-0.08,Radial Velocity
207,TYC 3318-01333-1 b,TYC3318013331,CJ,1,1,1.0,562.0,1.414,,,1086.9786,3.42,0.098,0.082,-0.032,1.19,-0.06,Radial Velocity
208,TYC 0434-04538-1 b,TYC0434045381,WJ,1,1,1.0,193.2,0.66,,,1938.763,6.1,0.08,0.05,-0.03,1.04,-0.38,Radial Velocity
209,TOI-778 b,TOI778,HJ,1,1,1.0,4.633611,0.06,15.4,1.37,878.0,2.8,0.21,0.04,-0.04,1.4,0.0,Transit
210,TOI-6029 b,TOI6029,HJ,1,1,1.0,5.7987,0.07310529540177288,14.39233122,1.284,519.64944544,1.635,0.091,0.017,-0.015,1.548,0.37,Transit
211,TOI-5153 b,TOI5153,WJ,1,1,1.0,20.33003,0.158,11.88151954,1.06,1036.12060682,3.26,0.091,0.024,-0.026,1.24,0.12,Transit
212,TOI-481 b,TOI481,HJ,1,1,1.0,10.33111,0.097,11.09691,0.99,486.2799,1.53,0.153,0.006,-0.007,1.14,0.26,Transit
213,TOI-4603 b,TOI4603,HJ,1,1,1.0,7.24599,0.0888,11.67975789,1.042,4096.80816623,12.89,0.325,0.02,-0.02,1.765,0.342,Transit
214,TOI-2589 b,TOI2589,WJ,1,1,1.0,61.6277,0.3,12.10569916,1.08,1112.3994245,3.5,0.522,0.006,-0.006,0.93,0.12,Transit
215,TOI-2529 b,TOI2529,WJ,1,1,1.0,64.5949,0.327,11.54525012,1.03,743.71847238,2.34,0.021,0.024,-0.015,1.11,0.1,Transit
216,TOI-2497 b,TOI2497,WJ,1,1,1.0,10.655669,0.1166,11.14172682,0.994,1531.93292174,4.82,0.195,0.043,-0.04,1.859,0.094,Transit
217,TOI-2485 b,TOI2485,WJ,1,1,1.0,11.23479,0.1093,12.1393261,1.083,766.60211768,2.412,0.0341,0.0109,-0.0087,1.163,0.12,Transit
218,TOI-2420 b,TOI2420,HJ,1,1,1.0,5.842641,0.0684,15.02003414,1.34,294.62693329,0.927,0.055,0.036,-0.031,1.158,-0.18,Transit
219,TOI-2368 b,TOI2368,HJ,1,1,1.0,5.1750073,0.05649,10.83908434,0.967,206.58846455,0.65,0.061,0.066,-0.042,0.897,0.1,Transit
220,TOI-2338 b,TOI2338,WJ,1,1,1.0,22.65398,0.158,11.2089807,1.0,1900.61387386,5.98,0.676,0.002,-0.002,0.99,0.22,Transit
221,TOI-2180 b,TOI2180,WJ,1,1,1.0,260.79,0.828,11.32107051,1.01,875.61726129,2.755,0.3683,0.0073,-0.0073,1.111,0.253,Transit
222,TOI-2107 b,TOI2107,HJ,1,1,1.0,2.4545467,0.03515,13.57407563,1.211,263.79757781,0.83,0.033,0.038,-0.023,0.961,0.07,Transit
223,TOI-2010 b,TOI2010,WJ,1,1,1.0,141.834025,0.5516,11.81426566,1.054,408.7273314,1.286,0.212,0.022,-0.021,1.112,0.168,Transit
224,TOI-1899 b,TOI1899,WJ,1,1,1.0,29.090312,0.1525,11.09689089,0.99,212.94503269,0.67,0.044,0.029,-0.027,0.632,0.28,Transit
225,TOI-1516 b,TOI1516,HJ,1,1,1.0,2.056014,0.03307174311077737,15.24421375,1.36,1004.33776612,3.16,,0.1,-0.1,1.14,-0.05,Transit
226,TOI-1181 b,TOI1181,HJ,1,1,1.0,2.103189,0.036520243350012555,17.02644168,1.519,374.71969185,1.179,0.011,0.007,-0.008,1.467,0.38,Transit
227,TIC 4672985 b,TIC4672985,WJ,1,1,1.0,69.048,0.33,11.5004142,1.026,4049.13390518,12.74,0.018,0.004,-0.004,1.01,0.14,Transit
228,NGTS-30 b,NGTS30,WJ,1,1,1.0,98.29838,0.408,10.40193409,0.928,305.11527072,0.96,0.294,0.014,-0.01,0.94,-0.03,Transit
229,NGTS-20 b,NGTS20,WJ,1,1,1.0,54.18915,0.313,11.99360935,1.07,947.12865286,2.98,0.432,0.023,-0.023,1.47,0.15,Transit
230,NGC 2682 Sand 978 b,NGC2682Sand978,CJ,1,1,1.0,511.21,1.3903084847810003,,,692.8694,2.18,0.16,0.07,-0.07,1.37,-0.14,Radial Velocity
231,NGC 2682 Sand 1429 b,NGC2682Sand1429,WJ,1,1,1.0,77.48,0.384,,,572.0911326,1.8,0.0,0.1,-0.1,1.26,-0.013,Radial Velocity
232,Kepler-447 b,Kepler447,HJ,1,1,1.0,7.79430132,0.0769,18.49,1.65,435.41,1.37,0.123,0.037,-0.036,1.0,0.07,Transit
233,Kepler-1658 b,Kepler1658,HJ,1,1,1.0,3.849372784,0.0544,11.99363,1.07,1868.8404,5.88,0.0628,0.0197,-0.0185,1.447,-0.18,Transit
234,KOI-3680 b,KOI3680,WJ,1,1,1.0,141.241671,0.534,11.09691,0.99,613.4119,1.93,0.496,0.031,-0.031,1.01,0.16,Transit
235,KIC 8121913 b,KIC8121913,HJ,1,1,1.0,3.294601,0.049135317416861446,,,667.4396547,2.1,,0.1,-0.1,1.456,0.252,Orbital Brightness Modulation
236,KIC 3526061 b,KIC3526061,CJ,1,1,1.0,3552.0,5.14,,,5768.58558705,18.15,0.85,0.01,-0.01,1.42,0.12,Radial Velocity
237,KELT-4 A b,KELT4A,HJ,3,1,1.0,2.9895932,0.04317,19.044091,1.699,286.68266,0.902,0.0,0.1,-0.1,1.201,-0.116,Transit
238,KELT-24 b,KELT24,HJ,2,1,1.0,5.55149296,0.0665,12.71098411,1.134,1458.83238813,4.59,0.0319,0.0079,-0.0074,1.268,0.138,Transit
239,KELT-17 b,KELT17,HJ,1,1,1.0,3.0801716,0.04881,17.093725,1.525,416.3573,1.31,,0.1,-0.1,1.635,-0.018,Transit
240,KELT-12 b,KELT12,HJ,1,1,1.0,5.031623,0.06708,19.95202,1.78,301.9385,0.95,0.0,0.1,-0.1,1.591,0.19,Transit
241,HS Psc b,HSPsc,HJ,1,1,1.0,3.986,0.0435,,,464.02947422,1.46,0.27,0.21,-0.27,0.69,-0.05,Radial Velocity
242,HR 5183 b,HR5183,DG,2,1,1.0,27000.0,18.0,,,1026.5909,3.23,0.84,0.04,-0.04,1.07,0.1,Radial Velocity
243,HIP 75092 b,HIP75092,CJ,1,1,1.0,926.4,2.02,,,568.91284853,1.79,0.42,0.1,-0.1,1.28,-0.01,Radial Velocity
244,HIP 74890 b,HIP74890,CJ,1,1,1.0,822.3,2.1,,,762.792,2.4,0.07,0.07,-0.07,1.74,0.2,Radial Velocity
245,HIP 114933 b,HIP114933,CJ,1,1,1.0,1481.6,2.84,,,616.58710958,1.94,0.21,0.08,-0.08,1.39,0.06,Radial Velocity
246,HIP 109600 b,HIP109600,WJ,2,1,1.0,232.08,0.706,,,851.7844,2.68,0.163,0.006,-0.006,0.87,-0.12,Radial Velocity
247,HIP 109384 b,HIP109384,CJ,1,1,1.0,499.48,1.134,,,495.8148,1.56,0.549,0.003,-0.003,0.78,-0.26,Radial Velocity
248,HIP 107773 b,HIP107773,WJ,1,1,1.0,144.3,0.72,,,629.3034,1.98,0.09,0.06,-0.06,2.42,0.03,Radial Velocity
249,HIP 105854 b,HIP105854,WJ,1,1,1.0,184.2,0.81,,,2606.1,8.2,0.02,0.03,-0.03,2.1,0.31,Radial Velocity
250,HD 99283 b,HD99283,CJ,1,1,1.0,310.4,1.08,,,308.29355479,0.97,0.2,0.102,-0.146,1.76,-0.16,Radial Velocity
251,HD 98736 b,HD98736,CJ,2,1,1.0,968.8,1.864,,,740.5439,2.33,0.226,0.064,-0.064,0.92,0.36,Radial Velocity
252,HD 98219 b,HD98219,CJ,1,1,1.0,433.8,1.26,,,624.21812,1.964,0.079,0.04,-0.04,1.41,-0.02,Radial Velocity
253,HD 96992 b,HD96992,CJ,1,1,1.0,514.0,1.24,,,362.3262,1.14,0.41,0.24,-0.12,0.96,-0.45,Radial Velocity
254,HD 96167 b,HD96167,CJ,2,1,1.0,498.04,1.332,,,227.88411,0.717,0.685,0.029,-0.029,1.27,0.34,Radial Velocity
255,HD 96063 b,HD96063,CJ,1,1,1.0,362.5,1.11,,,403.6441,1.27,0.17,0.11,-0.11,1.37,-0.3,Radial Velocity
256,HD 94834 b,HD94834,CJ,1,1,1.0,1576.0,2.74,,,400.4658,1.26,0.14,0.1,-0.1,1.11,0.13,Radial Velocity
257,HD 9174 b,HD9174,CJ,1,1,1.0,1179.0,2.2,,,352.7913,1.11,0.12,0.05,-0.05,1.03,0.39,Radial Velocity
258,HD 89744 b,HD89744,WJ,2,1,1.0,256.78,0.917,,,2653.8805,8.35,0.677,0.003,-0.003,1.86,0.26,Radial Velocity
259,HD 87646 b,HD87646,WJ,3,1,1.0,13.481,0.117,,,3941.092,12.4,0.05,0.02,-0.02,1.12,-0.17,Radial Velocity
260,HD 86950 b,HD86950,CJ,1,1,1.0,1270.0,2.72,,,1144.188,3.6,0.17,0.16,-0.16,1.66,0.04,Radial Velocity
261,HD 86081 b,HD86081,HJ,2,1,1.0,2.1378431,0.0346,,,470.3884,1.48,0.0119,0.0047,-0.0047,1.21,0.22,Radial Velocity
262,HD 8535 b,HD8535,CJ,2,1,1.0,1313.0,2.45,,,216.1244,0.68,0.15,0.09,-0.05,1.13,0.06,Radial Velocity
263,HD 81688 b,HD81688,WJ,1,1,1.0,183.93,0.648,,,525.68818518,1.654,0.04,0.022,-0.031,1.07,-0.32,Radial Velocity
264,HD 79181 b,HD79181,WJ,1,1,1.0,273.1,0.9,,,203.41018048,0.64,0.259,0.067,-0.206,1.28,-0.28,Radial Velocity
265,HD 76920 b,HD76920,CJ,1,1,1.0,415.891,1.091,,,994.80291391,3.13,0.8782,0.0025,-0.0025,1.0,-0.19,Radial Velocity
266,HD 73534 b,HD73534,CJ,1,1,1.0,1750.0,2.99,,,353.42696,1.112,0.126,0.057,-0.057,1.16,0.232,Radial Velocity
267,HD 72490 b,HD72490,CJ,1,1,1.0,858.0,1.88,,,561.92344,1.768,0.124,0.046,-0.046,1.21,-0.12,Radial Velocity
268,HD 68402 b,HD68402,CJ,1,1,1.0,1103.0,2.18,,,975.7381,3.07,0.03,0.06,-0.06,1.12,0.29,Radial Velocity
269,HD 66141 b,HD66141,CJ,1,1,1.0,480.5,1.2,,,1906.9,6.0,0.07,0.03,-0.03,1.1,-0.323,Radial Velocity
270,HD 62509 b,HD62509,CJ,1,1,1.0,589.64,1.64,,,731.0,2.3,0.02,0.03,-0.03,,0.1027,Radial Velocity
271,HD 60292 b,HD60292,CJ,1,1,1.0,495.4,1.5,,,2065.895,6.5,0.27,0.1,-0.1,1.7,-0.17,Radial Velocity
272,HD 59686 A b,HD59686A,CJ,2,1,1.0,299.36,1.086,,,2199.3836,6.92,0.05,0.03,-0.02,1.9,0.15,Radial Velocity
273,HD 5583 b,HD5583,WJ,1,1,1.0,139.35,0.53,,,1837.0574,5.78,0.076,0.07,-0.023,1.01,-0.5,Radial Velocity
274,HD 55696 b,HD55696,CJ,1,1,1.0,1827.0,3.18,,,1230.0021,3.87,0.705,0.022,-0.022,1.29,0.37,Radial Velocity
275,HD 52265 b,HD52265,WJ,1,1,1.0,119.27,0.52,,,384.5743,1.21,0.27,0.02,-0.02,1.204,0.19074500045,Radial Velocity
276,HD 4917 b,HD4917,CJ,1,1,1.0,400.5,1.167,,,513.29545,1.615,0.066,0.041,-0.041,1.32,0.24,Radial Velocity
277,HD 47536 b,HD47536,CJ,1,1,1.0,712.13,1.93,,,2330.0,7.32,0.2,0.08,-0.08,2.1,-0.65,Radial Velocity
278,HD 43691 b,HD43691,WJ,3,1,1.0,36.9987,0.238,,,810.4665,2.55,0.0796,0.0067,-0.0067,1.32,0.33,Radial Velocity
279,HD 4313 b,HD4313,CJ,1,1,1.0,356.21,1.157,,,612.45841,1.927,0.147,0.047,-0.047,1.63,0.14,Radial Velocity
280,HD 42012 b,HD42012,CJ,1,1,1.0,857.5,1.67,,,508.528,1.6,0.2,0.1,-0.1,0.83,-0.09,Radial Velocity
281,HD 36384 b,HD36384,CJ,1,1,1.0,490.0,1.3,,,2097.6674862,6.6,0.2,0.1,-0.1,1.14,-0.16,Radial Velocity
282,HD 360 b,HD360,WJ,1,1,1.0,273.1,0.98,,,238.37130525,0.75,0.139,0.108,-0.104,1.69,-0.06,Radial Velocity
283,HD 35759 b,HD35759,WJ,1,1,1.0,82.467,0.389,,,1195.0408,3.76,0.389,0.006,-0.006,1.15,0.04,Radial Velocity
284,HD 331093 b,HD331093,CJ,1,1,1.0,621.62,1.44,,,476.7426105,1.5,0.59,0.03,-0.03,1.03,0.17,Radial Velocity
285,HD 32963 b,HD32963,CJ,1,1,1.0,2372.0,3.41,,,222.481,0.7,0.07,0.04,-0.04,0.94,0.11,Radial Velocity
286,HD 32518 b,HD32518,WJ,1,1,1.0,157.35,0.594,,,905.49313154,2.849,0.028,0.034,-0.019,1.13,-0.15,Radial Velocity
287,HD 30856 b,HD30856,CJ,2,1,1.0,847.0,1.85,,,491.68301,1.547,0.061,0.058,-0.058,1.17,-0.06,Radial Velocity
288,HD 2952 b,HD2952,CJ,1,1,1.0,312.08,1.117,,,284.77425267,0.896,0.269,0.165,-0.15,1.91,0.0,Radial Velocity
289,HD 29021 b,HD29021,CJ,1,1,1.0,1362.3,2.28,,,762.792,2.4,0.459,0.008,-0.008,0.85,-0.24,Radial Velocity
290,HD 28678 b,HD28678,CJ,1,1,1.0,380.2,1.18,,,490.09386,1.542,0.149,0.047,-0.047,1.53,-0.11,Radial Velocity
291,HD 27969 b,HD27969,CJ,1,1,1.0,654.5,1.552,,,1525.5763536,4.8,0.182,0.019,-0.019,1.16,0.18,Radial Velocity
292,HD 25723 b,HD25723,CJ,1,1,1.0,457.01,1.49,,,794.5710175,2.5,0.04,0.05,-0.03,2.12,-0.03,Radial Velocity
293,HD 240210 b,HD240210,CJ,1,1,1.0,501.75,1.16,,,1655.82,5.21,0.15,0.02,-0.02,0.82,-0.18,Radial Velocity
294,HD 238914 b,HD238914,CJ,1,1,1.0,4100.0,5.7,,,1906.98,6.0,0.56,0.07,-0.05,1.47,-0.25,Radial Velocity
295,HD 233832 b,HD233832,CJ,2,1,1.0,2058.0,2.827,,,565.7374,1.78,0.359,0.046,-0.039,0.71,-0.66,Radial Velocity
296,HD 233604 b,HD233604,WJ,1,1,1.0,192.0,0.747,,,2089.644,6.575,0.05,0.03,-0.03,1.5,-0.36,Radial Velocity
297,HD 231701 b,HD231701,WJ,1,1,1.0,141.63,0.567,,,359.1479,1.13,0.13,0.032,-0.032,1.21,0.05,Radial Velocity
298,HD 22781 b,HD22781,CJ,1,1,1.0,528.07,1.167,,,4338.2,13.65,0.8191,0.0023,-0.0023,0.75,-0.37,Radial Velocity
299,HD 224693 b,HD224693,WJ,1,1,1.0,26.6904,0.191,,,222.481,0.7,0.104,0.017,-0.017,1.31,0.27,Radial Velocity
300,HD 222237 b,HD222237,DG,1,1,1.0,14892.0,10.8,,,1649.52943233,5.19,0.56,0.03,-0.03,0.76,-0.32,Radial Velocity
301,HD 222076 b,HD222076,CJ,1,1,1.0,871.0,1.83,,,495.8148,1.56,0.08,0.05,-0.05,1.07,0.05,Radial Velocity
302,HD 221585 b,HD221585,CJ,1,1,1.0,1173.0,2.306,,,511.7063,1.61,0.123,0.069,-0.069,1.19,0.29,Radial Velocity
303,HD 221287 b,HD221287,CJ,1,1,1.0,456.1,1.25,,,982.05,3.09,0.08,0.17,-0.05,1.25,-0.03,Radial Velocity
304,HD 220773 b,HD220773,CJ,1,1,1.0,3724.7,4.94,,,460.8,1.45,0.51,0.1,-0.1,1.16,0.09,Radial Velocity
305,HD 219415 b,HD219415,CJ,1,1,1.0,2093.3,3.2,,,317.83,1.0,0.4,0.09,-0.09,1.0,-0.04,Radial Velocity
306,HD 219139 b,HD219139,WJ,1,1,1.0,275.5,0.94,,,247.90615746,0.78,0.11,0.087,-0.081,1.46,-0.2,Radial Velocity
307,HD 213472 b,HD213472,DG,1,1,1.0,17000.0,13.0,,,1112.3994245,3.5,0.53,0.12,-0.085,1.048132,0.1249,Radial Velocity
308,HD 212771 b,HD212771,CJ,1,1,1.0,380.7,1.19,,,759.6137,2.39,0.076,0.051,-0.051,1.56,-0.21,Radial Velocity
309,HD 211810 b,HD211810,CJ,1,1,1.0,1558.0,2.656,,,212.9461,0.67,0.68,0.14,-0.14,1.03,0.17,Radial Velocity
310,HD 211403 b,HD211403,WJ,1,1,1.0,223.8,0.768,,,1760.76937478,5.54,0.084,0.057,-0.044,1.2,0.18,Radial Velocity
311,HD 210702 b,HD210702,CJ,1,1,1.0,355.5,1.079,,,481.5100366,1.515,0.071,0.019,-0.051,1.33,-0.02,Radial Velocity
312,HD 208897 b,HD208897,CJ,1,1,1.0,358.27,1.063,,,379.48711796,1.194,0.02,0.049,-0.01,1.25,0.21,Radial Velocity
313,HD 208527 b,HD208527,CJ,1,1,1.0,875.5,2.1,,,3146.4,9.9,0.08,0.04,-0.04,1.6,-0.09,Radial Velocity
314,HD 206610 b,HD206610,CJ,1,1,1.0,673.2,1.74,,,647.10188,2.036,0.1,0.042,-0.042,1.55,0.14,Radial Velocity
315,HD 205739 b,HD205739,WJ,1,1,1.0,279.8,0.896,,,435.41,1.37,0.27,0.07,-0.07,1.22,0.19,Radial Velocity
316,HD 19994 b,HD19994,CJ,3,1,1.0,466.2,1.305,,,435.41,1.37,0.063,0.062,-0.062,1.365,0.27,Radial Velocity
317,HD 197037 b,HD197037,CJ,2,1,1.0,1035.7,2.07,,,251.0,0.79,0.22,0.07,-0.07,1.11,-0.2,Radial Velocity
318,HD 196885 A b,HD196885A,CJ,2,1,1.0,1333.0,2.37,,,819.97,2.58,0.48,0.06,-0.06,1.28,0.22,Radial Velocity
319,HD 19615 b,HD19615,CJ,1,1,1.0,402.0,1.1,,,2701.5414595,8.5,0.2,0.1,-0.1,1.1,-0.31,Radial Velocity
320,HD 190984 b,HD190984,CJ,1,1,1.0,4885.0,5.5,,,985.2,3.1,0.57,0.1,-0.1,0.91,-0.48,Radial Velocity
321,HD 18742 b,HD18742,CJ,1,1,1.0,766.0,1.82,,,1080.622,3.4,0.04,0.035,-0.035,1.36,-0.04,Radial Velocity
322,HD 185269 b,HD185269,HJ,3,1,1.0,6.83776,0.077,,,321.0083,1.01,0.229,0.014,-0.014,1.3,0.11,Radial Velocity
323,HD 181342 b,HD181342,CJ,1,1,1.0,564.1,1.592,,,807.2882,2.54,0.022,0.051,-0.051,1.69,0.2,Radial Velocity
324,HD 180902 b,HD180902,CJ,2,1,1.0,510.9,1.4,,,535.54355,1.685,0.107,0.022,-0.022,1.41,0.04,Radial Velocity
325,HD 18015 b,HD18015,CJ,1,1,1.0,2278.0,3.87,,,1010.6994,3.18,0.148,0.061,-0.061,1.49,-0.14,Radial Velocity
326,HD 180053 b,HD180053,WJ,1,1,1.0,213.72,0.843,,,697.31902,2.194,0.081,0.029,-0.029,1.75,0.29,Radial Velocity
327,HD 17674 b,HD17674,CJ,1,1,1.0,623.8,1.42,,,276.5121,0.87,0.13,0.1,-0.1,0.98,-0.16,Radial Velocity
328,HD 175541 b,HD175541,WJ,1,1,1.0,298.43,0.975,,,190.06234,0.598,0.11,0.049,-0.049,1.39,0.0978422901136,Radial Velocity
329,HD 174205 b,HD174205,CJ,1,1,1.0,582.0,1.7,,,1334.8793094,4.2,0.4,0.2,-0.2,1.8,-0.28,Radial Velocity
330,HD 173416 b,HD173416,CJ,1,1,1.0,322.03,1.158,,,585.12209729,1.841,0.208,0.089,-0.094,2.0,-0.22,Radial Velocity
331,HD 167768 b,HD167768,WJ,1,1,1.0,20.6532,0.1512,,,270.15414595,0.85,0.149,0.101,-0.096,1.08,-0.67,Radial Velocity
332,HD 1666 b,HD1666,WJ,1,1,1.0,270.0,0.94,,,2040.0,6.43,0.63,0.03,-0.02,1.5,0.37,Radial Velocity
333,HD 165155 b,HD165155,CJ,1,1,1.0,434.5,1.13,,,918.5287,2.89,0.2,0.03,-0.03,1.02,0.09,Radial Velocity
334,HD 161178 b,HD161178,WJ,1,1,1.0,279.3,0.85,,,181.16219199,0.57,0.044,0.132,-0.019,1.06,-0.21,Radial Velocity
335,HD 158996 b,HD158996,CJ,1,1,1.0,820.2,2.1,,,4449.62,14.0,0.13,0.05,-0.05,1.8,-0.2,Radial Velocity
336,HD 156411 b,HD156411,CJ,1,1,1.0,842.2,1.88,,,235.18,0.74,0.22,0.08,-0.08,1.25,-0.12,Radial Velocity
337,HD 155193 b,HD155193,CJ,1,1,1.0,352.65,1.04,,,238.37130525,0.75,0.21,0.08,-0.08,1.221,0.05,Radial Velocity
338,HD 154391 b,HD154391,CJ,1,1,1.0,5163.0,7.46,,,2892.2385037,9.1,0.2,0.04,-0.04,2.07,0.1,Radial Velocity
339,HD 152581 b,HD152581,CJ,1,1,1.0,686.5,1.66,,,594.02427,1.869,0.04,0.031,-0.031,1.3,-0.46,Radial Velocity
340,HD 150706 b,HD150706,CJ,1,1,1.0,5894.0,6.7,,,861.28,2.71,0.38,0.28,-0.32,1.17,-0.01,Radial Velocity
341,HD 1502 b,HD1502,CJ,1,1,1.0,428.5,1.262,,,874.0325,2.75,0.031,0.022,-0.022,1.46,0.09,Radial Velocity
342,HD 150010 b,HD150010,CJ,1,1,1.0,562.0,1.4,,,762.7881768,2.4,0.2,0.1,-0.1,1.3,-0.25,Radial Velocity
343,HD 149143 b,HD149143,HJ,1,1,1.0,4.07182,0.053,,,422.7139,1.33,0.0167,0.004,-0.004,1.2,0.29,Radial Velocity
344,HD 148156 b,HD148156,CJ,1,1,1.0,1027.0,2.45,,,270.144,0.85,0.52,0.04,-0.09,1.22,0.29,Radial Velocity
345,HD 14787 b,HD14787,CJ,1,1,1.0,676.6,1.7,,,356.28743,1.121,0.155,0.073,-0.073,1.43,0.02,Radial Velocity
346,HD 147513 b,HD147513,CJ,2,1,1.0,528.4,1.32,,,385.0,1.21,0.26,0.05,-0.05,1.11,0.06,Radial Velocity
347,HD 145457 b,HD145457,WJ,1,1,1.0,176.13,0.762,,,888.01256916,2.794,0.111,0.039,-0.04,1.9,-0.14,Radial Velocity
348,HD 143105 b,HD143105,HJ,1,1,1.0,2.1974,0.0379,,,384.5743,1.21,0.07,0.1,-0.1,1.51,0.15,Radial Velocity
349,HD 14067 b,HD14067,CJ,1,1,1.0,2744.0,5.15,,,4862.7746271,15.3,0.65,0.027,-0.028,2.4,-0.1,Radial Velocity
