,pl_name,hostname,pl_type,sy_snum,sy_pnum,companion_type,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_mass,st_met,discoverymethod
18,TOI-969 b,TOI969,SE,1,2,1.0,1.8237305,0.02636,2.765,0.2466772,9.1,0.0286318,,0.1,-0.1,0.734,0.175,Transit
19,TOI-969 c,TOI969,CJ,1,2,2.0,1700.0,2.52,,,3591.4609991,11.3,0.628,0.043,-0.036,0.734,0.175,Radial Velocity
20,Pr0211 b,Pr0211,HJ,2,2,1.0,2.1461,0.03176,,,597.5204,1.88,0.011,0.012,-0.008,0.935,0.18,Radial Velocity
21,Pr0211 c,Pr0211,CJ,2,2,7.0,4850.0,5.5,,,2475.8957,7.79,0.71,0.11,-0.11,0.935,0.18,Radial Velocity
22,TOI-2202 b,TOI2202,HJ,1,2,1.0,11.9126075,0.09639946954666048,10.95117414,0.977,287.31687993,0.904,0.022,0.022,-0.015,0.841,0.059,Transit
23,TOI-2202 c,TOI2202,CS,1,2,7.0,24.6744,0.15544,,,117.27868218,0.369,0.0622,0.0452,-0.0211,0.823,0.04,Transit Timing Variations
24,TOI-1130 b,TOI1130,SE,1,2,1.0,4.074554,0.0453,3.66,0.32652389,19.8,0.06229777,0.052162,0.000956,-2e-06,0.745,0.11,Transit
25,TOI-1130 c,TOI1130,HJ,1,2,2.0,8.3501898,0.0731,13.0,1.15978431,336.0,1.05717423,0.0398,0.0009,-0.0002,0.745,0.11,Transit
26,TIC 279401253 b,TIC279401253,WJ,1,2,1.0,76.8,0.369,11.2089807,1.0,1951.46641898,6.14,0.448,0.029,-0.028,1.13,0.2,Transit
27,TIC 279401253 c,TIC279401253,WJ,1,2,11.0,155.3,0.591,,,2548.98382414,8.02,0.254,0.042,-0.036,1.13,0.2,Transit
28,TIC 139270665 b,TIC139270665,CS,1,2,1.0,23.624,0.163,7.22979255,0.645,147.15455244,0.463,0.105,0.053,-0.05,1.035,0.156,Transit
29,TIC 139270665 c,TIC139270665,CJ,1,2,5.0,1010.0,2.0,,,1554.18091023,4.89,0.566,0.12,-0.069,1.035,0.156,Radial Velocity
30,Kepler-93 b,Kepler93,SE,1,2,1.0,4.72673978,0.05343,1.478,0.13185856,4.66,0.014662,0.0,0.1,-0.1,0.911,-0.18,Transit
31,Kepler-93 c,Kepler93,CJ,1,2,2.0,1460.0,2.441858299493588,,,954.0,3.0,,0.1,-0.1,0.91,-0.18,Radial Velocity
32,Kepler-94 b,Kepler94,SE,1,2,1.0,2.50806,0.033691864434506856,3.51,0.313,10.84,0.034,,0.1,-0.1,0.81,0.34,Transit
33,Kepler-94 c,Kepler94,CJ,1,2,2.0,820.3,1.5993673932525228,,,3126.0,9.836,,0.1,-0.1,0.81,0.34,Radial Velocity
34,Kepler-68 b,Kepler68,SE,2,4,1.0,5.39875259,0.06135,2.357,0.21027782,8.03,0.02526521,0.09,0.1,-0.1,1.057,0.11,Transit
35,Kepler-68 c,Kepler68,SE,2,4,2.0,9.605027,0.09008,0.979,0.08734068,1.3,0.00409026,0.099,0.1,-0.1,1.057,0.11,Transit
36,Kepler-68 d,Kepler68,CJ,2,4,4.0,632.62,1.469,,,238.05347684,0.749,0.102,0.016,-0.016,1.057,0.11,Radial Velocity
37,Kepler-68 e,Kepler68,CS,2,4,52.0,3455.0,4.6,,,86.4493267,0.272,0.33,0.11,-0.11,1.057,0.11,Radial Velocity
38,Kepler-56 b,Kepler56,CS,1,3,1.0,10.5016,0.1028,6.51,0.581,22.1,0.07,,0.1,-0.1,1.32,0.2,Transit
39,Kepler-56 c,Kepler56,WJ,1,3,5.0,21.40239,0.1652,9.8,0.874,181.0,0.57,,0.1,-0.1,1.32,0.2,Transit
40,Kepler-56 d,Kepler56,CJ,1,3,55.0,1002.0,2.16,,,1784.0,5.61,0.2,0.01,-0.01,,0.3631,Radial Velocity
41,Kepler-539 b,Kepler539,WJ,1,2,1.0,125.63243,0.4988,8.373123,0.747,308.2951,0.97,0.39,0.1,-0.1,1.048,-0.01,Transit
42,Kepler-539 c,Kepler539,CJ,1,2,11.0,1000.0,2.42,,,762.792,2.4,0.5,0.1,-0.1,1.048,-0.01,Transit Timing Variations
43,Kepler-48 b,Kepler48,SE,1,5,1.0,4.778,0.05322672493914051,1.88,0.16772237,3.94,0.01239656,,0.1,-0.1,0.88,0.17,Transit
44,Kepler-48 c,Kepler48,SE,1,5,2.0,9.67395,0.08518599621794065,2.71,0.24177001,14.61,0.04596797,,0.1,-0.1,0.88,0.17,Transit
45,Kepler-48 d,Kepler48,SE,1,5,4.0,42.8961,0.22992040747229198,2.04,0.182,7.93,0.025,,0.1,-0.1,0.88,0.17,Transit
