,pl_name,hostname,sy_snum,sy_pnum,pl_type,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,se_companion,ss_companion,gg_companion
71,Kepler-454 b,Kepler-454,2,3,SE,10.5737534,0.09528,5.4,0.01699,0.32,,5687.0,1.07,1.03,0.32,0,0,0
72,Kepler-454 c,Kepler-454,2,3,CJ,524.19,1.287,1433.40612,4.51,0.0053,,5687.0,1.07,1.03,0.32,1,0,0
73,Kepler-454 d,Kepler-454,2,3,CJ,4073.0,5.1,734.18362,2.31,0.089,,5687.0,1.07,1.03,0.32,1,0,1
74,Kepler-432 b,Kepler-432,2,2,WJ,52.501129,0.301,1719.4603,5.41,0.5134,,4995.0,4.06,1.32,-0.07,0,0,0
75,Kepler-432 c,Kepler-432,2,2,CJ,406.2,1.0214723312235383,772.3269,2.43,0.498,,4995.0,4.06,1.32,-0.07,0,0,1
76,Kepler-424 b,Kepler-424,1,2,HJ,3.3118644,0.044,327.35,1.03,,,5460.0,0.94,1.01,0.44,0,0,0
77,Kepler-424 c,Kepler-424,1,2,WJ,223.3,0.73,2215.18,6.97,,,5460.0,0.94,1.01,0.44,0,0,1
78,Kepler-407 b,Kepler-407,1,2,SE,0.66931,66.74883658727556,3.2,0.01007,,,5476.0,1.01,1.0,0.33,0,0,0
79,Kepler-407 c,Kepler-407,1,2,WJ,3000.0,0.2455355646507462,4000.0,12.6,,,5476.0,1.01,1.0,0.33,0,0,0
80,Kepler-139 b,Kepler-139,1,4,CJ,15.771044,0.127,,,,,5594.0,1.3,,,0,0,0
81,Kepler-139 c,Kepler-139,1,4,CJ,157.072878,0.586,,,,,5594.0,1.3,,,0,0,0
82,Kepler-139 d,Kepler-139,1,4,SE,7.30569992,0.075553,4.65808,0.01466,0.0,,,,1.08,,0,0,0
83,Kepler-139 e,Kepler-139,1,4,CJ,2047.635373,3.235796,426.11582,1.34071,0.013121,,,,1.08,,1,0,1
84,Kepler-129 b,Kepler-129,1,3,CS,15.79,0.13,20.0,0.06293,,G4 V,5770.0,1.65,1.18,0.29,0,0,0
85,Kepler-129 c,Kepler-129,1,3,CS,82.2,0.39,43.0,0.13529,,G4 V,5770.0,1.65,1.18,0.29,0,0,0
86,Kepler-129 d,Kepler-129,1,3,CJ,2646.0,4.0,2637.97578,8.3,0.15,G4 V,5770.0,1.65,1.18,0.29,0,1,0
87,KOI-351 b,KOI-351,1,8,CJ,7.008151,0.074,,,,,6080.0,1.2,1.2,-0.12,0,0,0
88,KOI-351 c,KOI-351,1,8,CJ,8.719375,0.089,,,,,6080.0,1.2,1.2,-0.12,0,0,0
