Internal index number,CPS identifier,[Fe/H],mass,,err_[Fe/H],logg,err_logg,Radius,err_R,,err_mass,GG?,Teff,err_Teff
111,144287,-0.007,0.873,,0.056,4.404,0.023,0.968,0.02,,0.026,,5480.4,67.2
112,144579,-0.529,0.73,,0.054,4.534,0.011,0.763,0.007,,0.014,,5446.3,47.5
113,144585,0.307,1.185,,0.06,4.22,0.029,1.397,0.033,,0.05,,5795.1 1,7
114,144988,-0.18,1.216,,0.062,3.786,0.019,2.329,0.054,,0.032,,5842.7,97.9
115,145675,0.405,0.969,,0.047,4.427,0.031,0.996,0.022,,0.042,,5314.9,81.6
116,145809,-0.245,0.966,,0.061,3.962,0.023,1.696,0.04,,0.029,,5711.9,97.3
117,145934,0.095,1.813,,0.06,3.011,0.059,6.931,0.172,,0.232,,4823.7,78.1
118,145958a,0.052,0.911,,0.058,4.35,0.024,1.053,0.022,,0.031,,5555.9,70.5
119,145958b,0.058,0.904,,0.058,4.369,0.024,1.025,0.021,,0.031,,5521.2,70.7
120,1461,0.182,1.031,,0.062,4.327,0.031,1.152,0.027,,0.047,,5695.2,94.3
121,146233,0.035,0.995,,0.059,4.467,0.027,0.966,0.019,,0.044,,5709.7,78.4
122,146362b,-0.018,1.026,,0.059,4.44,0.027,1.009,0.022,,0.044,,5886.4,79.3
123,146775,-0.055,0.964,,0.06,4.36,0.034,1.072,0.025,,0.048,,5819.7,94.5
124,147231,0.018,0.919,,0.059,4.304,0.024,1.117,0.025,,0.031,,5620.4,70.8
125,149661,0.074,0.885,,0.059,4.54,0.025,0.837,0.016,,0.033,,5237.3,69.9
126,149724,0.364,1.149,,0.056,4.153,0.03,1.49,0.034,,0.061,,5648.4,71.8
127,149806,0.238,0.949,,0.058,4.499,0.029,0.908,0.02,,0.039,,5313.7,72.5
128,150433,-0.273,0.845,,0.061,4.307,0.019,1.068,0.023,,0.017,,5771.8,51.7
129,150437,0.302,1.151,,0.058,4.222,0.029,1.369,0.034,,0.05,,5744.1,86.5
130,150698,0.223,1.27,,0.061,3.965,0.037,1.954,0.046,,0.084,,5870.4,94
131,151541,-0.114,0.831,,0.058,4.496,0.028,0.849,0.018,,0.034,,5376.8,76.6
132,151877,-0.076,0.825,,0.058,4.54,0.028,0.804,0.016,,0.035,,5219.2,71.7
133,152391,0.036,0.93,,0.057,4.528,0.023,0.869,0.018,,0.029,,5448,62.9
134,152792,-0.322,1.022,,0.062,3.83,0.021,2.028,0.049,,0.025,,5611.8 1,1.6
135,15335,-0.135,1.084,,0.061,3.937,0.022,1.85,0.046,,0.033,,5856.3,99.5
136,153458,0.102,1.052,,0.057,4.435,0.027,1.03,0.021,,0.043,,5800.8,77.6
137,153525,-0.03,0.772,,0.059,4.601,0.017,0.729,0.012,,0.025,,4825.1,65.4
138,153557,0.005,0.794,,0.062,4.58,0.1,0.755,0.026,,0.031,,4916.5,98.4
139,154088,0.342,0.99,,0.058,4.446,0.031,0.986,0.021,,0.046,,5401.1,85.3
140,154345,-0.07,0.886,,0.06,4.505,0.032,0.87,0.019,,0.041,,5490.6,81.1
141,155712,-0.048,0.784,,0.052,4.559,0.022,0.767,0.013,,0.028,,4999.7,64.3
142,156279,0.192,0.96,,0.058,4.45,0.033,0.966,0.022,,0.047,,5458.2,84.2
