,Unnamed: 0,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname,baseline,num_obs
349,349,HATS27 b,HATS27,HJ,1,1,4.637038,0.0611,16.8135,1.5,168.4499,0.53,0.581,0.1,-0.1,F,6438.0,1.74,1.415,0.09,1.0,1.0,Transit,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,639.99784,29.0
350,350,GJ3021 b,GJ3021,WJ,2,1,133.71,0.49,,,1071.04,3.37,0.511,0.017,-0.017,G6 V,5540.0,0.9,0.9,0.1,1.0,0.0,Radial Velocity,<a refstr=NAEF_ET_AL__2001 href=https://ui.adsabs.harvard.edu/abs/2001A&A...375..205N/abstract target=ref> Naef et al. 2001 </a>,458.91021100012586,61.0
351,351,GJ179 b,GJ179,CJ,1,1,2288.0,2.41,,,260.61,0.82,0.21,0.08,-0.08,M3.5 V,3370.0,0.38,0.357,0.3,1.0,0.0,Radial Velocity,<a refstr=HOWARD_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...721.1467H/abstract target=ref> Howard et al. 2010 </a>,3625.944380000001,44.0
352,352,CoRoT9 b,CoRoT9,WJ,2,1,95.272656,0.4021,11.948794,1.066,266.9772,0.84,0.133,0.042,-0.037,,5625.0,0.96,0.96,-0.01,1.0,0.0,Transit,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..43B/abstract target=ref>Bonomo et al. 2017</a>,1785.0555000000004,28.0
353,353,CoRoT29 b,CoRoT29,HJ,1,1,2.85057,0.0386,10.0881,0.9,270.1555,0.85,0.082,0.081,-0.081,K0 V,5260.0,0.9,0.97,0.2,1.0,0.0,Transit,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>,416.9464499996975,20.0
354,354,CoRoT26 b,CoRoT26,HJ,1,1,4.20474,0.0526,14.12,1.26,165.26,0.52,0.0,0.1,-0.1,G5,5590.0,1.79,1.09,0.01,1.0,1.0,Transit,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>,804.9263900000005,24.0
355,355,CoRoT16 b,CoRoT16,HJ,1,1,5.35227,0.0618,13.11,1.17,170.032,0.535,0.33,0.09,-0.1,G5 V,5650.0,1.19,1.098,0.19,1.0,0.0,Transit,<a refstr=OLLIVIER_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...541A.149O/abstract target=ref> Ollivier et al. 2012 </a>,417.87481000000025,31.0
356,356,CoRoT12 b,CoRoT12,HJ,1,1,2.828042,0.04016,16.14,1.44,291.438,0.917,0.07,0.063,-0.042,,5675.0,1.116,1.078,0.16,1.0,0.0,Transit,<a refstr=GILLON_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010A%26A...520A..97G/abstract target=ref> Gillon et al. 2010 </a>,487.74055000022054,20.0
357,357,BD550362 b,BD550362,WJ,1,1,265.59,0.78,,,228.83645304,0.72,0.27,0.06,-0.06,K3,5012.0,,0.909,0.18,1.0,0.0,Radial Velocity,<a refstr=DALAL_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...651A..11D/abstract target=ref>Dalal et al. 2021</a>,3050.809300000001,26.0
358,358,BD490828 b,BD490828,CJ,1,1,2590.0,4.2,,,508.5,1.6,0.35,0.24,-0.1,K0,4943.0,7.6,1.52,-0.19,1.0,0.0,Radial Velocity,<a refstr=NIEDZIELSKI_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...803....1N/abstract target=ref>Niedzielski et al. 2015</a>,3133.641539999997,42.0
359,359,BD480740 b,BD480740,CJ,1,1,733.0,1.7,,,540.311,1.7,0.76,0.05,-0.09,,4534.0,10.33,1.09,-0.13,1.0,0.0,Radial Velocity,<a refstr=ADAM_OACUTE_W_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...613A..47A/abstract target=ref>Adam&oacute;w et al. 2018</a>,3491.0078129999965,41.0
360,360,BD480738 b,BD480738,CJ,1,1,392.6,1.0,,,289.2253,0.91,0.2,0.1,-0.1,K0 III,4414.0,11.0,0.74,-0.2,1.0,0.0,Radial Velocity,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...745...28G/abstract target=ref> Gettel et al. 2012 </a>,2479.989010000005,54.0
361,361,BD200274 b,BD200274,CJ,1,1,578.2,1.3,,,1334.886,4.2,0.21,0.06,-0.06,K5 III,4296.0,17.3,0.8,-0.46,1.0,0.0,Radial Velocity,<a refstr=GETTEL_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...756...53G/abstract target=ref> Gettel et al. 2012 </a>,2548.2246000000014,43.0
362,362,BD152940 b,BD152940,WJ,1,1,137.48,0.539,,,352.78,1.11,0.26,0.1,-0.1,K0,4796.0,14.7,1.1,0.28,1.0,0.0,Radial Velocity,<a refstr=NOWAK_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...770...53N/abstract target=ref> Nowak et al. 2013 </a>,2361.7288800000024,38.0
363,363,BD152375 b,BD152375,WJ,1,1,153.22,0.576,,,337.21763,1.061,0.001,0.25,-0.001,,4649.0,8.95,1.08,-0.22,1.0,0.0,Radial Velocity,<a refstr=NIEDZIELSKI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...588A..62N/abstract target=ref>Niedzielski et al. 2016</a>,4102.572281699999,47.0
364,364,81Cet b,81Cet,CJ,1,1,1005.57,2.104,,,1051.05854195,3.307,0.037,0.015,-0.025,G5 III,4734.0,11.21,1.23,-0.11,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,6302.768910000101,77.0
365,365,70Vir b,70Vir,WJ,1,1,116.688,0.481,,,2357.02728,7.416,0.3988,0.0019,-0.0019,,5495.0,1.89,1.09,,1.0,0.0,Radial Velocity,<a refstr=LUHN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..149L/abstract target=ref>Luhn et al. 2019</a>,3871.0999999999985,82.0
366,366,6Lyn b,6Lyn,CJ,1,1,919.86,2.028,,,597.83523357,1.881,0.042,0.024,-0.032,K0 IV,4941.0,4.94,1.32,-0.17,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230805343T/abstract target=ref>Teng et al. 2023</a>,6162.960009999573,70.0
