,pl_name,hostname,pl_type,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,st_spectype,st_teff,st_rad,st_mass,st_met,companion_type,pl_sus_data,discoverymethod,pl_refname
466,HD134606 c,HD134606,SE,1,5,58.883,0.3007,,,11.31,0.03558524,0.055,0.062,-0.04,,5576.0,1.158,1.046,0.343,1.0,0.0,Radial Velocity,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>
467,HD134606 d,HD134606,CS,1,5,966.5,1.941,,,44.8,0.14095656,0.092,0.045,-0.045,,5576.0,1.158,1.046,0.343,1.0,0.0,Radial Velocity,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>
468,HD134606 e,HD134606,SE,1,5,4.3203,0.0527,,,2.34,0.00736246,0.2,0.14,-0.13,,5576.0,1.158,1.046,0.343,1.0,0.0,Radial Velocity,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>
469,HD134606 f,HD134606,SE,1,5,26.915,0.1784,,,5.63,0.01771396,0.081,0.1,-0.059,,5576.0,1.158,1.046,0.343,1.0,0.0,Radial Velocity,<a refstr=LI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240117415L/abstract target=ref>Li et al. 2024</a>
470,HD133131A b,HD133131A,CJ,2,3,649.0,1.44,,,451.3186,1.42,0.33,0.03,-0.03,G2 V,5799.0,,0.95,-0.306,1.0,0.0,Radial Velocity,<a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>
471,HD133131A c,HD133131A,CS,2,3,3568.0,4.49,,,133.4886,0.42,0.49,0.22,-0.22,G2 V,5799.0,,0.95,-0.306,1.0,0.0,Radial Velocity,<a refstr=TESKE_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..167T/abstract target=ref>Teske et al. 2016</a>
472,HD117618 b,HD117618,CS,1,1,25.8,0.18,,,55.30242,0.174,0.15,0.07,-0.07,,5990.0,,1.077,,1.0,0.0,Radial Velocity,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>
473,HD10975 b,HD10975,CS,1,1,283.8,0.95,,,143.02278315,0.45,0.442,0.04,-0.389,K0 III,4840.0,11.16,1.41,-0.21,1.0,0.0,Radial Velocity,<a refstr=TENG_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021PASJ..tmp..128T/abstract target=ref>Teng et al. 2021</a>
474,HD109749 b,HD109749,HS,2,1,5.239891,0.0615,,,85.8141,0.27,0.0,0.1,-0.1,G3 V,5824.0,1.22,1.13,0.24,1.0,1.0,Radial Velocity,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..213M/abstract target=ref>Ment et al. 2018</a>
475,HD109271 b,HD109271,SE,1,2,7.8543,0.079,,,17.162,0.054,0.25,0.08,-0.08,G5 V,5783.0,,1.047,0.1,1.0,0.0,Radial Velocity,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
476,HD109271 c,HD109271,CS,1,2,30.93,0.196,,,24.154,0.076,0.15,0.09,-0.09,G5 V,5783.0,,1.047,0.1,1.0,0.0,Radial Velocity,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
477,HD108147 b,HD108147,CS,1,1,10.8985,0.102,,,82.95,0.261,0.53,0.12,-0.12,,6255.73,1.20664,1.22,0.1803,1.0,0.0,Radial Velocity,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>
478,HD103774 b,HD103774,HS,2,1,5.8881,0.07,,,116.0,0.367,0.09,0.04,-0.04,F5 V,6489.0,,1.335,0.28,1.0,0.0,Radial Velocity,<a refstr=LO_CURTO_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...551A..59L/abstract target=ref> Lo Curto et al. 2013 </a>
479,HATS72 b,HATS72,HS,1,1,7.3279474,0.066517,8.0973816,0.7224,39.855882,0.1254,0.013,0.1,-0.1,,4656.1,0.7214,0.7311,0.099,1.0,1.0,Transit,<a refstr=HARTMAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..173H/abstract target=ref>Hartman et al. 2020</a>
480,HATS46 b,HATS46,HS,1,1,4.7423729,0.05367,10.121727,0.903,54.98459,0.173,0.559,0.1,-0.1,,5495.0,0.853,0.917,-0.06,1.0,1.0,Transit,<a refstr=BRAHM_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..112B/abstract target=ref>Brahm et al. 2018</a>
481,GJ9066 c,GJ9066,CS,1,1,771.36,0.88,,,66.74396547,0.21,0.46,0.04,-0.04,M5.0 V,3154.0,0.164,0.15,-0.13,1.0,0.0,Radial Velocity,<a refstr=QUIRRENBACH_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220316504Q/abstract target=ref>Quirrenbach et al. 2022</a>
482,GJ649 b,GJ649,CS,1,1,600.1,1.112,,,81.99972901,0.258,0.083,0.068,-0.055,M1.0,3734.0,0.5,0.51,-0.15,1.0,0.0,Radial Velocity,<a refstr=PINAMONTI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...677A.122P/abstract target=ref>Pinamonti et al. 2023</a>
483,GJ433 b,GJ433,SE,1,3,7.3705,0.062,,,6.043,0.01901331,0.04,0.03,-0.03,,,,0.48,,1.0,0.0,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
484,GJ433 c,GJ433,CS,1,3,5094.105,4.819,,,32.422,0.10201051,0.12,0.07,-0.07,,,,0.48,,1.0,0.0,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
485,GJ433 d,GJ433,SE,1,3,36.059,0.178,,,5.223,0.01643331,0.07,0.05,-0.05,,,,0.48,,1.0,0.0,Radial Velocity,<a refstr=FENG_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJS..246...11F/abstract target=ref>Feng et al. 2020</a>
486,GJ414A b,GJ414A,SE,2,2,50.8,0.2324,2.63,0.23463288,7.6,0.02391215,0.45,0.19,-0.22,K7 V,4120.0,0.68,0.65,0.24,1.0,0.0,Radial Velocity,<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>
487,GJ414A c,GJ414A,CS,2,2,749.83,1.4,8.4,0.74939781,53.83,0.16936727,0.105,0.11,-0.703,K7 V,4120.0,0.68,0.65,0.24,1.0,0.0,Radial Velocity,<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>
488,GJ3512 b,GJ3512,CS,1,2,203.69,0.337,,,146.20106722,0.46,0.44,0.01,-0.01,M5.5 V,3081.0,0.139,0.123,-0.07,1.0,0.0,Radial Velocity,<a refstr=LOPEZ_SANTIAGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..273L/abstract target=ref>Lopez-Santiago et al. 2020</a>
489,GJ3512 c,GJ3512,CS,1,2,1599.6,1.292,,,63.5656814,0.2,0.0183,0.0001,-0.0001,M5.5 V,3081.0,0.139,0.123,-0.07,1.0,0.0,Radial Velocity,<a refstr=LOPEZ_SANTIAGO_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..273L/abstract target=ref>Lopez-Santiago et al. 2020</a>
490,GJ3293 b,GJ3293,CS,1,4,30.5987,0.14339,,,23.54,0.07406475,0.06,0.04,-0.04,M2.5,3466.0,0.404,0.42,0.02,1.0,0.0,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
491,GJ3293 c,GJ3293,CS,1,4,122.6196,0.36175,,,21.09,0.06635623,0.11,0.1,-0.08,M2.5,3466.0,0.404,0.42,0.02,1.0,0.0,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
492,GJ3293 d,GJ3293,SE,1,4,48.1345,0.19394,,,7.6,0.02391215,0.12,0.13,-0.09,M2.5,3466.0,0.404,0.42,0.02,1.0,0.0,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
493,GJ3293 e,GJ3293,SE,1,4,13.2543,0.08208,,,3.28,0.01031998,0.21,0.2,-0.14,M2.5,3466.0,0.404,0.42,0.02,1.0,0.0,Radial Velocity,<a refstr=ASTUDILLO_DEFRU_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A..88A/abstract target=ref>Astudillo-Defru et al. 2017</a>
494,GJ163 b,GJ163,SE,1,3,8.63182,0.0607,,,10.6,0.03335116,0.073,0.05,-0.05,,,,,,1.0,0.0,Radial Velocity,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>
495,GJ163 c,GJ163,SE,1,3,25.63058,0.1254,,,6.8,0.02139509,0.099,0.086,-0.086,,,,,,1.0,0.0,Radial Velocity,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>
496,GJ163 d,GJ163,CS,1,3,603.95116,1.0304,,,29.4,0.09250228,0.373,0.077,-0.077,,,,,,1.0,0.0,Radial Velocity,<a refstr=BONFILS_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...556A.110B/abstract target=ref> Bonfils et al. 2013 </a>
497,GJ15A b,GJ15A,SE,2,2,11.4407,0.072,,,3.03,0.0095334,0.094,0.091,-0.065,M1,3607.0,0.38,0.38,-0.34,1.0,0.0,Radial Velocity,<a refstr=PINAMONTI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A.104P/abstract target=ref>Pinamonti et al. 2018</a>
498,GJ15A c,GJ15A,CS,2,2,7600.0,5.4,,,36.0,0.1132681,0.27,0.28,-0.19,M1,3607.0,0.38,0.38,-0.34,1.0,0.0,Radial Velocity,<a refstr=PINAMONTI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...617A.104P/abstract target=ref>Pinamonti et al. 2018</a>
499,GJ143 b,GJ143,CS,1,2,35.61253,0.1915,2.61,0.2328486,22.7,0.07142183,0.188,0.076,-0.078,K4.5,4640.0,0.695,0.73,0.003,1.0,0.0,Transit,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>
500,HD21749 c,GJ143,SE,1,2,7.78993,0.0695,0.892,0.07957891,3.7,0.01164144,,0.1,-0.1,K4.5,4640.0,0.695,0.73,0.003,1.0,0.0,Transit,<a refstr=DRAGOMIR_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...875L...7D/abstract target=ref>Dragomir et al. 2019</a>
501,GJ1148 b,GJ1148,CS,1,2,41.38,0.166,,,96.7,0.3042507,0.38,0.01,-0.012,,3287.0,0.358519,0.344045,,1.0,0.0,Radial Velocity,<a refstr=TRIFONOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...609A.117T/abstract target=ref>Trifonov et al. 2018</a>
502,GJ1148 c,GJ1148,CS,1,2,532.58,0.912,,,68.06,0.21413963,0.342,0.05,-0.062,,3287.0,0.358519,0.344045,,1.0,0.0,Radial Velocity,<a refstr=TRIFONOV_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...609A.117T/abstract target=ref>Trifonov et al. 2018</a>
503,CoRoTID223977153 b,CoRoTID223977153,HS,1,1,6.71837,0.071,6.38913,0.57,47.6745,0.15,,0.1,-0.1,G0 VI,5970.0,0.79,1.08,0.0,1.0,0.0,Transit,<a refstr=BOUFLEUR_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.473..710B/abstract target=ref>Boufleur et al. 2018</a>
504,CoRoT28 b,CoRoT28,HS,1,1,5.20851,0.0603,10.704595,0.955,153.82972,0.484,0.047,0.055,-0.038,G8/9 IV,5150.0,1.78,1.01,0.15,1.0,0.0,Transit,<a refstr=CABRERA_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...579A..36C/abstract target=ref>Cabrera et al. 2015</a>
505,CoRoT25 b,CoRoT25,HS,1,1,4.86069,0.0578,12.11,1.08,85.81,0.27,0.0,0.1,-0.1,F9,6040.0,1.19,1.09,-0.01,1.0,1.0,Transit,<a refstr=ALMENARA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...555A.118A/abstract target=ref> Almenara et al. 2013 </a>
506,CoRoT24 b,CoRoT24,SE,1,2,5.1134,0.056,3.7,0.33,5.7,0.018,0.0,0.1,-0.1,K1 V,4950.0,0.86,0.91,0.3,1.0,1.0,Transit,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>
507,CoRoT24 c,CoRoT24,HS,1,2,11.759,0.098,5.0,0.44,28.0,0.088,0.0,0.1,-0.1,K1 V,4950.0,0.86,0.91,0.3,1.0,1.0,Transit,<a refstr=ALONSO_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A&A...567A.112A/abstract target=ref> Alonso et al. 2014</a>
508,51Peg b,51Peg,HS,1,1,4.230785,0.0527,,,150.009,0.472,0.013,0.012,-0.012,,5758.0,1.17561,1.03,0.18,1.0,0.0,Radial Velocity,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>
509,61Vir b,61Vir,SE,1,3,4.215,0.050201,,,5.1,0.016,0.12,0.11,-0.11,G5 V,5577.0,0.963,0.942,-0.01,1.0,0.0,Radial Velocity,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
510,61Vir c,61Vir,SE,1,3,38.021,0.2175,,,18.2,0.057,0.14,0.06,-0.06,G5 V,5577.0,0.963,0.942,-0.01,1.0,0.0,Radial Velocity,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
511,61Vir d,61Vir,CS,1,3,123.01,0.476,,,22.9,0.072,0.35,0.09,-0.09,G5 V,5577.0,0.963,0.942,-0.01,1.0,0.0,Radial Velocity,<a refstr=VOGT_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...708.1366V/abstract target=ref> Vogt et al. 2010 </a>
